Pemain;Klub;Posisi
Edi Hafid Murtadho;Pelita Bandung Raya;Bek
Edi Hafid Murtadho;Persigar Garut;Bek
Edi Hafid Murtadho;Pelita Jaya Jawa Barat;Bek
Eka Ramdani;Persib Bandung;Gelandang
Eka Ramdani;Pelita Bandung Raya;Gelandang
Eka Ramdani;Persijatim;Gelandang
Erol FX Iba;Persebaya 1927;Bek
Erol FX Iba;Persik Kediri;Bek
Erol FX Iba;Persipura Jayapura;Bek
Erol FX Iba;PSPS Pekanbaru;Bek
Erol FX Iba;Pelita Jaya;Bek
Erol FX Iba;Arema Malang;Bek
Erol FX Iba;Semen Padang;Bek
Fauzal Mubaraq;Persela Lamongan;Kiper
Fauzal Mubaraq;PSPS Pekanbaru;Kiper
Fauzal Mubaraq;Sriwijaya FC;Kiper
Ferdinand Alfred Sinaga;Persepar Palangka Raya;Gelandang
Ferdinand Alfred Sinaga;Persibat Batang;Gelandang
Ferdinand Alfred Sinaga;Persisam Putra Samarinda;Gelandang
Ferdinand Alfred Sinaga;Persiwa Wamena;Gelandang
Ferdinand Alfred Sinaga;PPSM Magelang;Gelandang
Ferdinand Alfred Sinaga;Pelita Jaya;Gelandang
Ferdinand Alfred Sinaga;Semen Padang;Gelandang
Ferdinand Alfred Sinaga;Persikab;Gelandang
F.X. Yanuar Wahyu;Persela Lamongan;Bek
F.X. Yanuar Wahyu;Persema Malang;Bek
Gerald Pangkali;Persija Jakarta;Gelandang
Gerald Pangkali;Persipura Jayapura;Gelandang
Greg Nwokolo;Persija Jakarta;Penyerang
Greg Nwokolo;Persis Solo;Penyerang
Greg Nwokolo;PSIS Semarang;Penyerang
Greg Nwokolo;PSMS Medan;Penyerang
Greg Nwokolo;S.C. Olhanense;Penyerang
Greg Nwokolo;Arema FC;Penyerang
Greg Nwokolo;Pelita Bandung Raya;Penyerang
Greg Nwokolo;Sriwijaya F.C.;Penyerang
Greg Nwokolo;Tampines Rovers FC;Penyerang
Greg Nwokolo;Young Lions;Penyerang
Hamka Hamzah;Persebaya Surabaya;Bek
Hamka Hamzah;Persija Jakarta;Bek
Hamka Hamzah;Persik Kediri;Bek
Hamka Hamzah;Persipura Jayapura;Bek
Hamka Hamzah;PSM Makassar;Bek
Hamka Hamzah;Mitra Kukar;Bek
Hamka Hamzah;Persisam Samarinda;Bek
Hariono;Persib Bandung;Gelandang
Hariono;Deltras Sidoarjo;Gelandang
Hendra Bayauw;Persija Jakarta;Penyerang
Hendra Bayauw;Semen Padang FC;Penyerang
Hendra Bayauw;Jakarta FC 1928;Penyerang
Hendra Bayauw;Persemalra Langgur;Penyerang
Hendra Ridwan;Persib Bandung;Gelandang
Hendra Ridwan;Persim Maros;Gelandang
Hendra Ridwan;Persipura Jayapura;Gelandang
Hendra Ridwan;PSM Makassar;Gelandang
Hendra Ridwan;Persmin Minahasa;Gelandang
Hendra Ridwan;Pelita Jaya;Gelandang
Hendra Ridwan;Arema Malang;Gelandang
Hendra Ridwan;Arema Indonesia;Gelandang
Hendra Ridwan;PKT Bontang;Gelandang
Hendro Kartiko;Persebaya Surabaya;Goalkeeper
Hendro Kartiko;Persewangi Banyuwangi;Goalkeeper
Hendro Kartiko;Persid Jember;Goalkeeper
Hendro Kartiko;Persija Jakarta;Goalkeeper
Hendro Kartiko;PSM Makassar;Goalkeeper
Hendro Kartiko;PSPS Pekanbaru;Goalkeeper
Hendro Kartiko;Sriwijaya FC;Goalkeeper
Hendro Kartiko;Mitra Kutai Kartanegara;Goalkeeper
Hendro Kartiko;Mitra Surabaya;Goalkeeper
Hendro Kartiko;Arema Malang;Goalkeeper
Hendro Siswanto;Persela Lamongan;Gelandang
Hendro Siswanto;Persiba Balikpapan;Gelandang
Hendro Siswanto;PSIS Semarang;Gelandang
Hendro Siswanto;Persepam Pamekasan;Gelandang
Hendro Siswanto;Arema Indonesia;Gelandang
Hermawan (pemain sepak bola);Persela Lamongan;Bek
Hermawan (pemain sepak bola);Pelita Jaya;Bek
Hermawan (pemain sepak bola);Arema Malang;Bek
